,modis,gldas,gridmet
2010-09-01,1806770.3744888306,486867.0767211914,449001.9142341614
2010-10-01,1231357.3427581787,556846.9738769531,2217593.6499023438
2010-11-01,1265158.6763763428,511111.2826538086,1510967.1086883545
2010-12-01,1002550.9268188477,345462.1682739258,1214834.6169662476
2011-01-01,1459125.5548095703,593592.4676513672,935003.1043624878
2011-02-01,1693832.2187805176,882894.8858642578,1428305.2590179443
2011-03-01,2434870.9657287598,1187496.3702392578,2253546.46774292
2011-04-01,2367460.298309326,1946175.1281738281,2235253.1231689453
2011-05-01,3171649.424057007,2296141.336669922,2542723.7063598633
2011-06-01,3459208.720550537,2527575.5017089844,2191380.8628845215
2011-07-01,3222200.166091919,2061527.080078125,1234246.8891906738
2011-08-01,2273172.9345703125,1101265.5926513672,507035.72828292847
2011-09-01,1777747.7289962769,543012.1188354492,381969.8406600952
2011-10-01,1326239.203491211,671330.0830078125,1744110.0652313232
2011-11-01,1151098.4924697876,425740.2429199219,1279333.655090332
2011-12-01,878421.0549545288,378504.62127685547,351718.64696502686
2012-01-01,1034481.3158798218,556367.2146606445,1064586.202583313
2012-02-01,1518752.8540420532,897867.7624511719,965367.4998092651
2012-03-01,1880557.0748519897,1258664.5294189453,2096335.2680969238
2012-04-01,3041771.3820648193,1847282.4426269531,2865466.8731689453
2012-05-01,2342141.1419677734,2097531.7602539062,1908748.4113311768
2012-06-01,2933678.060760498,1583488.740234375,1347753.437347412
2012-07-01,2206671.9248199463,1011297.0355224609,714988.5527801514
2012-08-01,1399875.5820465088,531511.5316772461,353143.577671051
2012-09-01,1442548.7120819092,248396.34979248047,246092.98464775085
2012-10-01,1575331.453742981,296559.8094177246,1134895.6789398193
2012-11-01,946589.9460411072,325689.48165893555,1572956.183166504
2012-12-01,1162558.5400772095,496668.4991455078,964767.1210098267
2013-01-01,1371646.6918945312,624472.8991699219,838084.415473938
2013-02-01,1744607.1557235718,889450.4278564453,869917.4354553223
2013-03-01,2392650.908432007,1456197.1105957031,1816095.1176452637
2013-04-01,2138282.2924804688,1977850.1623535156,2102110.0199890137
2013-05-01,2881065.6621551514,1739455.9167480469,1724502.17628479
2013-06-01,2538699.549636841,1336821.4379882812,1305027.5276184082
2013-07-01,2090282.1041107178,880791.9763183594,599712.4959754944
2013-08-01,2127480.429611206,450471.8655395508,534826.9777107239
2013-09-01,1721958.5529327393,337592.2961425781,788701.7601013184
