,runoff,soil_moisture,swe,prism,chirps,persiann,trmm,daymet,modis,gmet_eto,gmet_etr,fldas,terraclimate,p_mean,et_mean,q_out1,q_out2,res_s,c2v_s
2001-06-30,0.15215779029634507,7.225921140935581,0.0007236141689667072,1.1839376899954064,1.2203858790546003,1.2958748615131175,1.1014411857862159,1.1055424554179774,3.0812278843709247,31.548709822290608,42.296725045948854,6.766732994416205,5.401944823385148,1.200409904087335,17.81906811408235,2.113783839,0.1357357879296,25.82021728056,5648.9975210019
2001-07-31,0.051379550348549026,5.376640252941655,0.0,0.8498973719664649,0.7185858866821215,0.8054861508384333,0.7325251741532702,0.7049266532192316,5.406767079398703,32.51783366126537,42.5033342298638,4.949150368686005,2.6328445576657824,0.7766236459100725,17.601985979375932,1.05705288864,0.15166296852480002,22.333133549639996,5647.184847577099
2001-08-31,0.0,4.359638087332241,0.0,0.03358959931054562,0.4961986801125894,0.11469795278682914,0.11498706622969365,0.04563823732269412,3.488622917367367,31.096407008477584,42.039654764727125,2.7454509915119605,1.0761772454128942,0.18986832460991446,16.089262585499387,0.8549188206,0.14941212272640006,19.98522040488,5645.004876148353
2001-09-30,0.10416633697380392,3.6908095736751685,0.0,1.53134534461345,2.2200273294273196,1.3202935540105403,1.4282780083555333,1.3896981562581296,3.475616481467534,23.126530145470237,32.05847519077759,1.8546826776809384,2.326682112305192,1.624986059101711,12.5683973215403,0.9757690236,0.15790172590079998,18.910111836,5642.899364745437
2001-10-31,0.1706745614014745,3.2472123205808696,0.003804186537144535,3.4968315186786336,4.410759185949223,3.023130243026578,3.1321707926467672,3.713344422887924,2.1855990365167943,16.570603426721444,24.342450895137357,1.2876951426132752,3.3812245619193986,3.5157229350753,9.553514612581655,1.19554308912,0.163797963264,17.81897912844,5642.57206014971
2001-11-30,1.7422576914472159,14.785506397771092,0.662654668912804,20.54855853042487,20.186289447601876,17.85398444268468,19.312131390791766,21.322554218905093,2.8336974931526275,6.584524052644789,9.432763934623193,3.019834559475289,7.328611492586517,19.475240952875797,5.839886306496483,1.0616525355600002,0.155785441536,18.5663039556,5643.072920010994
2001-12-31,11.54018985510149,22.617631463230847,6.05738638046355,29.397443619395855,25.399778271596414,25.510465939979312,26.927028703436157,29.57686247430697,1.962444973374846,4.359236420781062,6.3891402315977,2.7663959002171863,3.823185805484274,26.808679133601935,3.860080666291014,0.9554042688,0.11446774170624,21.80313679716,5644.229574138605
2002-01-31,3.826092398198463,23.000064639582373,7.044934706710013,11.370573631089014,11.48000650661329,10.36416682230308,10.890734130163315,11.704150233794707,2.6563899929053876,5.478514737562733,8.065472776055444,3.260427592018075,2.933922205386391,11.026370272542175,4.4789454607856065,0.66284871588,0.1213254816768,24.88487679744,5645.2604933660205
2002-02-28,2.002075715700455,22.422777033621184,6.407828482880021,6.913389532346678,7.120060873439486,6.398191223786239,7.1728921724472015,6.913901741555588,3.812493428232033,8.361618137069526,11.820069298090509,4.829685287332396,3.97149623023094,6.901133450504902,6.559072476191081,0.9316560783600001,0.1244326275072,26.44536221328,5645.8035911868565
2002-03-31,2.546692046458478,21.355001682104326,4.849224696981359,11.72931114359695,10.84209775060486,9.455972222029512,10.550653240250346,11.539101860469819,5.314145526098523,13.180896895312662,17.8220577423664,6.622363695739392,6.678784993534194,10.644508589120418,9.923649770610234,2.29869112536,0.15323611401216,28.27838503512,5646.23875505761
