,trmm_p,prism_p,chirps_p,persiann_p
2013-10-01,150151.54930114746,555939.386100769,423173.63634109497,146391.08917236328
2013-11-01,488994.5462036133,1249469.8455047607,1003777.8099060059,407498.1399536133
2013-12-01,390419.73907470703,629000.3859329224,467110.33058166504,302220.1043701172
2014-01-01,444306.1541748047,874873.4662628174,802856.9194793701,337778.92364501953
2014-02-01,1721468.7048339844,6124892.434387207,3600979.554748535,1418993.7561035156
2014-03-01,984382.9870605469,5550468.324279785,2996849.789428711,901866.0827636719
2014-04-01,424991.63177490234,2196595.638885498,1207605.8372497559,344769.4239807129
2014-05-01,149008.6484527588,575481.8686294556,417496.3912010193,121038.61610412598
2014-06-01,36816.96155548096,240088.19372177124,161944.7413444519,43327.88652420044
2014-07-01,31424.35707092285,414333.5792541504,92267.3066854477,28415.464267730713
2014-08-01,67339.12033081055,444107.25563049316,194066.12977981567,83012.5329208374
2014-09-01,256915.7061767578,976701.8449401855,467426.64070129395,266016.21322631836
2014-10-01,348902.0768737793,1644257.8372192383,746602.5163650513,338346.06674194336
2014-11-01,780600.9292602539,3086384.938659668,1876565.7669067383,684512.5122070312
2014-12-01,1997352.9931640625,9710971.539916992,5456751.443481445,1867913.7231445312
2015-01-01,397191.09100341797,363000.9211921692,604343.7429428101,330019.0576171875
2015-02-01,1061014.9383544922,4190409.220275879,1913203.035736084,806459.2272949219
2015-03-01,439180.31799316406,714173.5313415527,926178.2741546631,366119.89974975586
2015-04-01,537298.8052368164,1844574.881286621,1172693.9060211182,509978.1170654297
2015-05-01,237842.62756347656,1248681.0813903809,651998.8637924194,222040.08270263672
2015-06-01,88699.38388824463,377563.05742263794,252993.04475784302,102926.23489379883
2015-07-01,107730.37559509277,893277.688293457,210563.59963417053,157589.3930053711
2015-08-01,29047.74839401245,135409.34646606445,126474.13215637207,45249.196701049805
2015-09-01,75972.45746612549,366660.2451324463,278174.52850341797,81288.434715271
2015-10-01,260340.90682983398,1092425.0564575195,730049.2904663086,247873.07373046875
2015-11-01,781267.2225952148,3295851.9021606445,1713809.6294403076,690448.359375
2015-12-01,1338408.4954833984,6967751.319580078,3831319.3084716797,1275503.120727539
